Date,value,variable
1990-04-18,53.410024650780606,UB Index for singles over 21
1990-09-20,55.17666392769105,UB Index for singles over 21
1991-09-20,57.046014790468355,UB Index for singles over 21
1992-03-20,57.908792111750195,UB Index for singles over 21
1992-09-20,57.908792111750195,UB Index for singles over 21
1993-03-20,58.07313064913722,UB Index for singles over 21
1993-09-20,58.83319638455217,UB Index for singles over 21
1994-03-20,60.41495480690222,UB Index for singles over 21
1994-09-20,61.072308956450286,UB Index for singles over 21
1995-03-20,61.93508627773213,UB Index for singles over 21
1995-09-20,63.78389482333608,UB Index for singles over 21
1996-03-20,65.05751848808545,UB Index for singles over 21
1996-09-20,65.77649958915364,UB Index for singles over 21
1997-03-20,66.04354971240755,UB Index for singles over 21
1997-09-20,66.04354971240755,UB Index for singles over 21
1998-03-20,66.04354971240755,UB Index for singles over 21
1998-09-20,66.43385373870171,UB Index for singles over 21
1999-03-20,66.9063270336894,UB Index for singles over 21
1999-09-20,67.11175020542316,UB Index for singles over 21
2000-03-20,68.11832374691865,UB Index for singles over 21
2000-07-01,70.85045193097781,UB Index for singles over 21
2000-09-20,72.06244864420707,UB Index for singles over 21
2001-03-20,73.50041084634347,UB Index for singles over 21
2001-09-20,74.89728841413311,UB Index for singles over 21
2002-03-20,75.8011503697617,UB Index for singles over 21
2002-09-20,77.01314708299095,UB Index for singles over 21
2003-03-20,78.08134757600658,UB Index for singles over 21
2003-09-20,79.08792111750205,UB Index for singles over 21
2004-03-20,79.9506984387839,UB Index for singles over 21
2004-09-20,81.05998356614627,UB Index for singles over 21
2005-03-20,82.025472473295,UB Index for singles over 21
2005-09-20,83.09367296631059,UB Index for singles over 21
2006-03-20,84.3467543138866,UB Index for singles over 21
2006-09-20,86.46261298274445,UB Index for singles over 21
2007-03-20,87.16105176663928,UB Index for singles over 21
2007-09-20,88.29087921117502,UB Index for singles over 21
2008-03-20,89.79046836483155,UB Index for singles over 21
2008-09-20,92.29663105998357,UB Index for singles over 21
2009-03-20,93.11832374691865,UB Index for singles over 21
2009-09-20,93.67296631059983,UB Index for singles over 21
2010-03-20,95.06984387838948,UB Index for singles over 21
2010-09-20,96.4872637633525,UB Index for singles over 21
2011-03-20,97.55546425636811,UB Index for singles over 21
2011-09-20,100.0,UB Index for singles over 21
2012-03-20,100.59572719802794,UB Index for singles over 21
2012-09-20,101.19145439605587,UB Index for singles over 21
2013-03-20,102.09531635168447,UB Index for singles over 21
2013-09-20,102.91700903861955,UB Index for singles over 21
2014-03-20,104.86852917009037,UB Index for singles over 21
2014-09-20,105.91618734593263,UB Index for singles over 21
2015-03-20,106.65571076417422,UB Index for singles over 21
2015-09-20,107.51848808545603,UB Index for singles over 21
2016-03-20,108.3812654067379,UB Index for singles over 21
2016-09-20,108.60723089564503,UB Index for singles over 21
2017-03-20,110.02465078060806,UB Index for singles over 21
2017-09-20,110.68200493015613,UB Index for singles over 21
2018-03-20,112.11996713229252,UB Index for singles over 21
2018-09-20,113.02382908792113,UB Index for singles over 21
2019-03-20,114.15365653245686,UB Index for singles over 21
2019-09-20,114.83155299917831,UB Index for singles over 21
2020-03-20,116.20788824979458,UB Index for singles over 21
2020-09-20,116.20788824979458,UB Index for singles over 21
1990-03-01,50.3,Food
1990-06-01,51.7,Food
1990-09-01,51.3,Food
1990-12-01,51.8,Food
1991-03-01,52.9,Food
1991-06-01,52.7,Food
1991-09-01,53.1,Food
1991-12-01,53.3,Food
1992-03-01,53.6,Food
1992-06-01,53.8,Food
1992-09-01,53.6,Food
1992-12-01,53.9,Food
1993-03-01,55.1,Food
1993-06-01,54.6,Food
1993-09-01,55.0,Food
1993-12-01,55.3,Food
1994-03-01,55.5,Food
1994-06-01,55.3,Food
1994-09-01,55.8,Food
1994-12-01,56.0,Food
1995-03-01,57.2,Food
1995-06-01,57.5,Food
1995-09-01,58.3,Food
1995-12-01,58.5,Food
1996-03-01,58.6,Food
1996-06-01,59.2,Food
1996-09-01,59.8,Food
1996-12-01,60.3,Food
1997-03-01,60.7,Food
1997-06-01,61.1,Food
1997-09-01,61.1,Food
1997-12-01,61.2,Food
1998-03-01,61.7,Food
1998-06-01,62.2,Food
1998-09-01,63.0,Food
1998-12-01,63.7,Food
1999-03-01,64.4,Food
1999-06-01,64.6,Food
1999-09-01,64.9,Food
1999-12-01,65.1,Food
2000-03-01,65.2,Food
2000-06-01,65.8,Food
2000-09-01,66.9,Food
2000-12-01,67.4,Food
2001-03-01,69.6,Food
2001-06-01,70.2,Food
2001-09-01,70.6,Food
2001-12-01,72.5,Food
2002-03-01,72.9,Food
2002-06-01,72.5,Food
2002-09-01,73.3,Food
2002-12-01,74.3,Food
2003-03-01,75.7,Food
2003-06-01,75.7,Food
2003-09-01,75.5,Food
2003-12-01,76.8,Food
2004-03-01,78.2,Food
2004-06-01,77.5,Food
2004-09-01,77.0,Food
2004-12-01,78.1,Food
2005-03-01,78.8,Food
2005-06-01,78.9,Food
2005-09-01,79.5,Food
2005-12-01,81.0,Food
2006-03-01,82.1,Food
2006-06-01,85.5,Food
2006-09-01,87.5,Food
2006-12-01,87.9,Food
2007-03-01,85.8,Food
2007-06-01,87.3,Food
2007-09-01,89.0,Food
2007-12-01,88.9,Food
2008-03-01,90.8,Food
2008-06-01,90.7,Food
2008-09-01,92.0,Food
2008-12-01,93.9,Food
2009-03-01,96.0,Food
2009-06-01,95.1,Food
2009-09-01,94.3,Food
2009-12-01,95.7,Food
2010-03-01,96.7,Food
2010-06-01,96.4,Food
2010-09-01,95.9,Food
2010-12-01,98.0,Food
2011-03-01,100.9,Food
2011-06-01,102.3,Food
2011-09-01,102.0,Food
2011-12-01,100.5,Food
2012-03-01,98.4,Food
2012-06-01,99.0,Food
2012-09-01,100.9,Food
2012-12-01,100.8,Food
2013-03-01,100.0,Food
2013-06-01,100.1,Food
2013-09-01,100.3,Food
2013-12-01,101.9,Food
2014-03-01,102.2,Food
