Date,UB Index for singles over 21,Childcare,Milk,Rent,Utilities,Vegetables
1980-03-01,,,,20.6,15.6,
1980-05-01,21.138044371405094,,,,,
1980-06-01,,,,21,16,
1980-09-01,,,30.9,21.5,16.6,
1980-11-01,21.95973705834018,,,,,
1980-12-01,,,32.6,21.8,16.7,
1981-03-01,,,33.5,22.2,17.9,
1981-05-07,21.95973705834018,,,,,
1981-06-01,,,34.3,22.6,18,
1981-09-01,,,35.1,23.2,18.7,
1981-11-05,23.870172555464254,,,,,
1981-12-01,,,36.2,23.8,19.3,
1982-03-01,,26.5,35.1,24.4,20.6,
1982-05-06,23.870172555464254,,,,,
1982-06-01,,27.3,35.8,25.2,21.4,
1982-09-01,,28,36.4,26.2,23.1,
1982-11-01,26.458504519309777,,,,,
1982-12-01,,28.7,37.1,26.8,24.8,
1983-03-01,,30.4,37.1,27.2,25,
1983-05-01,28.204601479046836,,,,,
1983-06-01,,31,37.5,27.7,25,
1983-09-01,,32.2,37.7,28.2,25.7,
1983-11-01,30.23829087921117,,,,,
1983-12-01,,32.8,38.9,28.6,26.8,
1984-03-01,,34.3,39.3,29.1,26.7,
1984-05-01,32.29252259654889,,,,,
1984-06-01,,34.9,39.4,29.7,26.4,
1984-09-01,,35,39.4,30.3,27.1,
1984-12-01,,34,39.4,30.8,27.8,
1985-03-01,,34.8,40.5,31.4,28.5,
1985-06-01,,35.1,41,32,28.8,
1985-09-01,,35.5,41.6,33,29.2,
1985-11-01,37.57189811010682,,,,,
1985-12-01,,36.5,42.3,33.7,29.6,
1986-03-01,,38.2,43,34.5,30.1,
1986-05-01,39.19474116680362,,,,,
1986-06-01,,39.9,43.9,35.4,30.1,
1986-09-01,,40.7,44.5,36.4,30.7,
1986-11-01,39.19474116680362,,,,,
1986-12-01,,40.9,44.7,37.2,31.3,
1986-12-15,40.75595727198028,,,,,
1987-01-01,40.75595727198028,,,,,
1987-03-01,,42.8,45,38,31.5,
1987-06-01,,43.4,45.6,38.9,31.6,
1987-06-13,43.03615447822514,,,,,
1987-09-01,,44.6,46.3,40.2,32.9,
1987-12-01,,44.9,46.8,41.2,33.2,
1987-12-13,44.53574363188168,,,,,
1988-03-01,,47.4,47.3,42.4,33.3,
1988-06-01,,48.3,47.9,43.4,33.4,
1988-06-13,46.05587510271158,,,,,
1988-09-01,,48.9,48.3,44.8,34.6,
1988-12-01,,49.6,49,45.8,34.8,
1988-12-13,47.658175842235,,,,,
1989-03-01,,51.6,50.4,46.9,34.8,
1989-06-01,,52.1,50.2,47.8,34.8,
1989-06-13,49.56861133935908,,,,,
1989-09-01,,54,50.2,48.8,35.9,66.2
1989-11-15,51.253081347576,,,,,
1989-12-01,,54.3,51.1,49.6,36.2,59.8
1990-03-01,,57.4,51.9,50.2,36.3,48.2
1990-04-18,53.410024650780606,,,,,
1990-06-01,,58.2,52.5,50.8,36.4,55.3
1990-09-01,,60.1,53,51.5,35.8,47.1
1990-09-20,55.17666392769105,,,,,
1990-12-01,,59.1,54.1,52.1,38.2,41.7
1991-03-01,,50.4,55.2,52.4,38.4,50.8
1991-06-01,,50.6,56,52.8,38.3,40.9
1991-09-01,,50.9,57.3,53,39.8,43
1991-09-20,57.046014790468355,,,,,
1991-12-01,,51.1,58.1,53.1,39.9,48.1
1992-03-01,,54.2,58.3,53.2,40,46.4
1992-03-20,57.908792111750195,,,,,
1992-06-01,,54.2,59,53.3,40,46.2
1992-09-01,,54.6,59,53.4,40.7,40.4
